email,data,valor,quantidade,produto
ataylor@example.net,2023-09-25 20:38:03.018260,870.12,1,Product A
jason77@example.com,2024-03-06 07:32:58.748923,220.49,4,Product A
albertdiaz@example.org,2024-05-08 18:33:30.591033,33.44,8,Product C
elizabethwelch@example.net,2023-10-26 10:04:04.876270,651.77,5,Product A
aadams@example.org,2024-09-14 13:32:20.144414,615.32,14,Product C
hosborn@example.org,2023-10-16 08:53:41.877408,186.79,18,Product C
dawnweaver@example.net,2023-11-07 03:36:28.351614,678.72,11,Product C
dixonmartin@example.com,2023-11-30 00:48:12.926057,860.88,7,Product C
arthur33@example.net,2024-02-12 19:01:54.174385,622.42,6,Product A
nicoleramirez@example.com,2024-04-08 08:39:22.211837,990.8,9,Product B
michael90@example.com,2024-04-02 17:11:03.391901,440.55,7,Product C
kross@example.net,2024-02-29 22:50:07.888654,945.3,1,Product A
carolinedelgado@example.org,2023-10-13 17:25:57.335671,801.99,5,Product B
xjohnson@example.net,2024-06-11 20:34:27.638458,732.0,15,Product A
thompsongregory@example.com,2024-03-11 17:03:51.180213,387.74,13,Product B
nicholasmorrison@example.com,2024-08-13 14:28:18.491420,874.35,20,Product B
kimberlysampson@example.org,2024-09-14 09:59:02.171091,859.8,10,Product C
smithtara@example.org,2023-11-28 20:55:18.804286,752.44,20,Product C
portercharles@example.net,2024-07-18 23:15:55.781484,108.44,19,Product C
tkent@example.com,2024-04-11 10:18:06.895902,409.99,16,Product A
kristy00@example.com,2023-10-05 07:12:00.201976,331.6,8,Product C
christopherallen@example.com,2024-04-02 00:01:51.792754,729.35,6,Product B
deancody@example.org,2024-05-21 04:54:46.881117,343.27,12,Product C
heatherking@example.com,2024-05-17 13:26:23.833503,513.48,6,Product A
carolyngreene@example.com,2024-06-02 01:24:38.739691,908.46,1,Product A
rita69@example.org,2024-04-15 19:05:09.107205,751.21,5,Product B
kristina30@example.com,2023-10-20 23:48:37.638859,884.25,20,Product A
amanda59@example.com,2023-12-12 16:08:11.836113,652.33,8,Product A
kara93@example.net,2024-01-19 18:11:50.154999,307.93,18,Product B
holly25@example.org,2023-10-04 00:14:41.953527,402.67,11,Product C
umorales@example.net,2024-09-20 19:15:23.397251,469.39,8,Product A
sevans@example.com,2023-11-20 13:46:28.991148,13.53,11,Product C
dakota15@example.net,2024-05-08 23:24:17.377879,893.7,13,Product C
nvaughn@example.org,2024-04-17 20:22:55.310493,552.3,12,Product C
smithmeghan@example.net,2023-10-03 12:09:18.744044,518.69,6,Product B
carriefoster@example.org,2023-10-18 05:51:33.730351,223.37,19,Product C
spenceelizabeth@example.org,2023-09-28 21:31:06.590879,110.24,2,Product A
mathisrenee@example.com,2023-11-04 16:46:44.235823,473.16,19,Product C
johnalexander@example.com,2024-07-01 11:15:54.882951,727.7,17,Product C
daviskaren@example.org,2024-05-17 21:28:02.362257,68.56,14,Product A
perezmaurice@example.org,2024-04-27 22:05:48.347568,906.91,19,Product C
stephaniewhite@example.org,2024-05-12 08:05:52.333159,776.76,20,Product C
howellcaroline@example.com,2024-06-26 16:53:42.266043,257.9,13,Product B
luis74@example.org,2024-08-18 20:54:03.459859,555.76,14,Product A
steven66@example.net,2023-12-24 01:10:18.775207,895.18,18,Product A
christopherjones@example.net,2024-01-27 18:58:37.064189,225.61,5,Product B
rebeccamckee@example.net,2024-07-31 07:55:50.826969,16.0,4,Product A
cayala@example.org,2024-08-13 22:42:23.769138,680.97,20,Product B
ifisher@example.com,2024-04-11 21:15:09.212495,609.23,11,Product C
williammoreno@example.org,2024-03-04 11:15:53.157972,24.52,9,Product B
philipoconnell@example.org,2024-05-02 07:44:35.209916,11.21,19,Product C
courtney46@example.org,2024-06-05 20:19:38.323494,454.7,9,Product C
wilsonkevin@example.org,2024-06-10 10:34:19.513790,798.37,5,Product C
aliciawade@example.net,2024-03-22 08:42:48.282701,948.41,20,Product C
hford@example.net,2024-05-25 13:37:39.924114,572.59,11,Product B
watsonnicolas@example.org,2024-05-07 08:10:54.975883,508.6,12,Product B
catherinenelson@example.net,2023-10-23 03:35:40.817857,692.62,10,Product A
rodney51@example.com,2024-06-16 06:05:32.969896,873.22,13,Product C
mramos@example.net,2023-10-19 14:28:08.542055,110.42,18,Product A
charles13@example.net,2024-09-03 16:30:28.870288,46.29,8,Product A
woodkimberly@example.com,2024-08-15 13:09:41.876522,722.71,19,Product C
timothy42@example.net,2024-05-19 23:34:49.483086,647.0,12,Product C
